|m|,ΔJ,P′,J′,C′,N′,←P″,J″,C″,N″,Band,Wavenumber,Broadening coefficients,,,Shifting coefficients,,,Exponents,,
,,,,,,,,,,,,$ γ N 2 $,$ γ O 2 $,γ_{air},$ δ N 2 $,$ δ O 2 $,δ_{air},$ n N 2 $,$ n O 2 $,n_{air}
9,P,4,8,A _{1},69,0,9,A _{2},1,36,5730.2614,627(1),599(1),621(1),−99(1),−92(1),−98(1),0.83,0.82,0.83
9,Q,4,9,F _{2},296,0,9,F _{1},1,45,6040.3842,558(5),542(5),555(5),−111(4),−98(4),−108(4),0.70,0.84,0.73
9,Q,4,9,F _{1},304,0,9,F _{2},1,45,6040.4055,548(4),533(4),545(4),−123(4),−124(4),−123(4),0.71,0.65,0.70
9,R,4,9,A _{2},73,0,8,A _{1},1,32,5908.9146,538(1),527(1),536(1),−128(1),−117(0),−126(0),0.78,0.79,0.78
9,R,4,9,F _{2},211,0,8,F _{1},1,32,5909.0086,548(1),532(1),545(1),−119(1),−109(1),−117(1),0.77,0.81,0.78
9,R,4,9,E,142,0,8,E,1,32,5909.0980,555(2),537(2),551(2),−110(2),−101(2),−108(2),0.82,0.80,0.83
9,R,4,9,F _{1},222,0,8,F _{2},1,29,5919.6289,601(1),581(1),597(1),−121(1),−108(1),−118(1),0.77,0.78,0.77
11,Q,4,11,A _{1},111,0,11,A _{2},1,46,5993.5180,700(9),675(9),695(9),−108(10),−113(9),−109(9),0.68,1.05,0.75
11,Q,4,11,A _{1},116,0,11,A _{2},1,45,6037.7413,576(8),559(8),572(8),−134(8),−115(8),−130(8),1.00,0.89,0.98
11,Q,4,11,F _{1},365,0,11,F _{2},2,45,6037.8744,523(7),519(7),522(7),−96(8),−81(7),−93(7),0.81,0.63,0.77
11,R,4,11,F _{2},264,0,10,F _{1},2,29,5941.6704,610(6),574(5),602(5),−49(6),−58(5),−51(5),0.82,1.03,0.86
11,R,4,11,F _{2},351,0,10,F _{1},2,46,6114.4819,430(3),435(4),431(3),−78(3),−61(4),−74(3),0.76,0.86,0.79
11,R,4,11,A _{2},121,0,10,A _{1},1,46,6114.4959,527(4),521(4),526(4),−59(4),−79(4),−63(4),0.33,0.39,0.34
11,R,4,11,A _{1},113,0,10,A _{2},1,46,6114.6763,487(2),476(5),485(2),−135(3),−137(5),−135(3),0.68,0.68,0.68
11,R,4,11,F _{1},363,0,10,F _{2},3,45,6149.0670,568(4),524(3),559(3),−78(4),−86(3),−80(3),0.85,0.97,0.87
11,R,4,11,E,239,0,10,E,2,45,6149.2545,345(3),342(3),344(3),−98(3),−86(3),−95(3),0.54,0.75,0.60
11,R,4,11,A _{2},124,0,10,A _{1},1,45,6151.5330,617(4),591(4),612(4),−171(4),−145(3),−166(3),0.89,0.85,0.88
11,R,4,11,F _{2},359,0,10,F _{1},1,45,6151.7463,612(9),583(7),606(8),−105(9),−119(7),−108(8),0.80,1.07,0.85
11,R,4,11,A _{1},117,0,10,A _{2},1,18,6168.9080,483(3),480(3),482(3),−120(2),−122(3),−120(2),0.73,0.68,0.72
